eval_total_steps,l2,gail,tdil
0,50,50,50
5,50,50,50
10,50,50,50
15,50,50,50
20,50,50,50
25,50,50,50
30,50,50,50
35,50,50,50
40,50,50,50
45,50,50,50
50,50,50,50
55,50,50,50
60,50,50,50
65,50,50,50
70,50,50,50
75,50,50,50
80,50,50,50
85,50,50,50
90,50,50,50
95,50,50,50
100,50,50,50
105,50,50,50
110,50,50,50
115,50,50,50
120,50,50,50
125,50,50,50
130,50,50,50
135,50,50,50
140,50,50,50
145,50,50,50
150,50,50,50
155,50,50,50
160,50,50,50
165,50,50,50
170,50,50,50
175,50,50,50
180,50,50,50
185,50,50,50
190,50,50,50
195,50,50,50
200,50,50,50
205,50,50,50
210,50,50,50
215,50,50,50
220,50,50,50
225,50,50,50
230,50,50,50
235,50,50,50
240,50,50,50
245,50,50,50
250,50,50,50
255,50,50,50
260,50,50,50
265,50,50,50
270,50,50,50
275,50,50,50
280,50,50,50
285,50,50,50
290,50,50,50
295,50,50,50
300,50,50,50
305,50,50,50
310,50,50,50
315,50,50,50
320,50,50,50
325,50,50,50
330,50,50,50
335,50,50,50
340,50,50,50
345,50,50,50
350,50,50,50
355,50,50,50
360,50,50,50
365,50,50,50
370,50,50,50
375,50,50,50
380,50,50,50
385,50,50,50
390,50,50,50
395,50,50,50
400,50,50,50
405,50,50,50
410,50,50,50
415,50,50,50
420,50,50,50
425,50,50,50
430,50,50,50
435,50,50,50
440,50,50,50
445,50,50,50
450,50,50,50
455,50,50,50
460,50,50,50
465,50,50,50
470,50,50,50
475,50,50,50
480,50,50,50
485,50,50,50
490,50,50,50
495,50,50,50
500,50,50,50
505,50,50,50
510,50,50,50
515,50,50,50
520,50,50,50
525,50,50,50
530,50,50,50
535,50,50,50
540,50,50,50
545,50,50,50
550,50,50,50
555,50,50,50
560,50,50,50
565,50,50,50
570,50,50,50
575,50,50,50
580,50,50,50
585,50,50,50
590,50,50,50
595,50,50,50
600,50,50,50
605,50,50,50
610,50,50,50
615,50,50,50
620,50,50,50
625,50,50,50
630,50,50,50
635,50,50,50
640,50,50,50
645,50,50,50
650,50,50,50
655,50,50,50
660,50,50,50
665,50,50,50
670,50,50,50
675,50,50,50
680,50,50,50
685,50,50,50
690,50,50,50
695,50,50,50
700,50,50,50
705,50,50,50
710,50,50,50
715,50,50,50
720,50,50,50
725,50,50,50
730,50,50,50
735,50,50,50
740,50,50,50
745,50,50,50
750,50,50,50
755,50,50,50
760,50,50,50
765,50,50,50
770,50,50,50
775,50,50,50
780,50,50,50
785,50,50,50
790,50,50,50
795,50,50,50
800,50,50,50
805,50,50,50
810,50,50,50
815,50,50,50
820,50,50,50
825,50,50,50
830,50,50,50
835,50,50,50
840,50,50,50
845,50,50,50
850,50,50,50
855,50,50,50
860,50,50,50
865,50,50,50
870,50,50,50
875,50,50,50
880,50,50,50
885,50,50,50
890,50,50,50
895,50,50,50
900,50,50,50
905,50,50,50
910,50,50,50
915,50,50,50
920,50,50,50
925,50,50,50
930,50,50,50
935,50,50,50
940,50,50,50
945,50,50,50
950,50,50,50
955,50,50,50
960,50,50,50
965,50,50,50
970,50,50,50
975,50,50,50
980,50,50,50
985,50,50,50
990,50,50,50
995,50,50,50
1000,50,50,50
1005,50,50,50
1010,50,50,50
1015,50,50,50
1020,50,50,50
1025,50,50,50
1030,50,50,50
1035,50,50,50
1040,50,50,50
1045,50,50,50
1050,50,50,50
1055,50,50,50
1060,50,50,50
1065,50,50,50
1070,50,50,50
1075,50,50,50
1080,50,50,50
1085,50,50,50
1090,50,50,50
1095,50,50,50
1100,50,50,50
1105,50,50,50
1110,50,50,50
1115,50,50,50
1120,50,50,50
1125,50,50,50
1130,50,50,50
1135,50,50,50
1140,50,50,50
1145,50,50,50
1150,50,50,50
1155,50,50,50
1160,50,50,50
1165,50,50,50
1170,50,50,50
1175,50,50,50
1180,50,50,50
1185,50,50,50
1190,50,50,50
1195,50,50,50
1200,50,50,50
1205,50,50,50
1210,50,50,50
1215,50,50,50
1220,50,50,50
1225,50,50,50
1230,50,50,50
1235,50,50,50
1240,50,50,50
1245,50,50,50
1250,50,50,50
1255,50,50,50
1260,50,50,50
1265,50,50,50
1270,50,50,50
1275,50,50,50
1280,50,50,50
1285,50,50,50
1290,50,50,50
1295,50,50,50
1300,50,50,50
1305,50,50,50
1310,50,50,50
1315,50,50,50
1320,50,50,50
1325,50,50,50
1330,50,50,50
1335,50,50,50
1340,50,50,50
1345,50,50,50
1350,50,50,50
1355,50,50,50
1360,50,50,50
1365,50,50,50
1370,50,50,50
1375,50,50,50
1380,50,50,50
1385,50,50,50
1390,50,50,50
1395,50,50,50
1400,50,50,50
1405,50,50,50
1410,50,50,50
1415,50,50,50
1420,50,50,50
1425,50,50,50
1430,50,50,50
1435,50,50,50
1440,50,50,50
1445,50,50,50
1450,50,50,50
1455,50,50,50
1460,50,50,50
1465,50,50,50
1470,50,50,50
1475,50,50,50
1480,50,50,50
1485,50,50,50
1490,50,50,50
1495,50,50,50
1500,50,50,50
1505,50,50,50
1510,50,50,50
1515,50,50,50
1520,50,50,50
1525,50,50,50
1530,50,50,50
1535,50,50,50
1540,50,50,50
1545,50,50,50
1550,50,50,50
1555,50,50,50
1560,50,50,50
1565,50,50,50
1570,50,50,50
1575,50,50,50
1580,50,50,50
1585,50,50,50
1590,50,50,50
1595,50,50,50
1600,50,50,50
1605,50,50,50
1610,50,50,50
1615,50,50,50
1620,50,50,50
1625,50,50,50
1630,50,50,50
1635,50,50,50
1640,50,50,50
1645,50,50,50
1650,50,50,50
1655,50,50,50
1660,50,50,50
1665,50,50,50
1670,50,50,50
1675,50,50,50
1680,50,50,50
1685,50,50,50
1690,50,50,50
1695,50,50,50
1700,50,50,50
1705,50,50,50
1710,50,50,50
1715,50,50,50
1720,50,50,50
1725,50,50,50
1730,50,50,50
1735,50,50,50
1740,50,50,50
1745,50,50,50
1750,50,50,50
1755,50,50,50
1760,50,50,50
1765,50,50,50
1770,50,50,50
1775,50,50,50
1780,50,50,50
1785,50,50,50
1790,50,50,50
1795,50,50,50
1800,50,50,50
1805,50,50,50
1810,50,50,50
1815,50,50,50
1820,50,50,50
1825,50,50,50
1830,50,50,50
1835,50,50,50
1840,50,50,50
1845,50,50,50
1850,50,50,50
1855,50,50,50
1860,50,50,50
1865,50,50,50
1870,50,50,50
1875,50,50,50
1880,50,50,50
1885,50,50,50
1890,50,50,50
1895,50,50,50
1900,50,50,50
1905,50,50,50
1910,50,50,50
1915,50,50,50
1920,50,50,50
1925,50,50,50
1930,50,50,50
1935,50,50,50
1940,50,50,50
1945,50,50,50
1950,50,50,50
1955,50,50,50
1960,50,50,50
1965,50,50,50
1970,50,50,50
1975,50,50,50
1980,50,50,50
1985,50,50,50
1990,50,50,50
1995,50,50,50
2000,50,50,50
2005,50,50,50
2010,50,50,50
2015,50,50,50
2020,50,50,50
2025,50,50,50
2030,50,50,50
2035,50,50,50
2040,50,50,50
2045,50,50,50
2050,50,50,50
2055,50,50,50
2060,50,50,50
2065,50,50,50
2070,50,50,23
2075,50,50,23
2080,50,50,50
2085,50,50,23
2090,50,50,50
